"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
241,"Choladousia",0.2245,97.81,4,0.08657,0.0909,243,0.5,86,16.08
242,"Mogibacterium",0.2233,97.9,4,0.07658,0,254,0,120,15.73
243,"Phocaeicola",0.2225,97.98,4,0.06992,0,254,0,120,15.38
244,"Lancefieldella",0.2178,98.07,4,0.03219,0.4004,171,0,120,15.03
245,"Phil1",0.2169,98.16,4,0.06992,0.0909,243,0,120,14.69
246,"Flavonifractor",0.2168,98.25,4,0.07991,0.0769,251,0,120,14.34
247,"Scatacola_A",0.2167,98.33,4,0.0677,0.125,230,0,120,13.99
248,"Pelethousia",0.2133,98.42,4,0.05549,0,254,0,120,13.64
249,"Acutalibacter",0.2131,98.5,4,0.0677,0.0769,251,0,120,13.29
250,"Butyribacter",0.2122,98.59,4,0.08102,0,254,0,120,12.94
251,"Choladocola",0.2117,98.67,4,0.08102,0.1,239,0,120,12.59
252,"Collinsella",0.1932,98.75,4,0.02886,0.3,189,0,120,12.24
253,"Marseille.P3106",0.1922,98.83,3,0.08213,0,254,0,120,11.89
254,"Evtepia",0.1732,98.9,3,0.05771,0,254,0,120,11.54
255,"Faecimonas",0.167,98.97,3,0.08213,0,254,0,120,11.19
256,"Peptostreptococcus",0.1669,99.03,3,0.07325,0,254,0,120,10.84
257,"CAG.353",0.1508,99.09,3,0.06659,0.1111,237,0,120,10.49
258,"Pauljensenia",0.1507,99.15,3,0.05549,0.1667,224,0,120,10.14
259,"Pseudoflavonifractor",0.1499,99.21,3,0.07769,0,254,0,120,9.79
260,"UBA738",0.1417,99.27,3,0.08435,0,254,0,120,9.44
261,"UBA1685",0.1407,99.33,3,0.04217,0.2111,214,0,120,9.09
262,"Caccousia",0.1303,99.38,2,0.08102,0,254,0,120,8.74
263,"Anaerotruncus",0.1255,99.43,2,0.07991,0,254,0,120,8.39
264,"An92",0.125,99.48,2,0.05993,0,254,0,120,8.04
265,"Ruthenibacterium",0.1213,99.53,2,0.05105,0.125,230,0,120,7.69
266,"Limivicinus",0.1067,99.57,2,0.05882,0.1,239,0,120,7.34
267,"CAG.273",0.1043,99.61,2,0.0788,0,254,0,120,6.99
268,"Erysipelatoclostridium",0.101,99.65,2,0.0788,0,254,0,120,6.64
269,"Scatocola",0.1003,99.69,2,0.07658,0,254,0,120,6.29
270,"Streptococcus",0.0976,99.73,2,0.06881,0,254,0,120,5.94
271,"Marvinbryantia",0.0956,99.77,2,0.04662,0.1,239,0,120,5.59
272,"Enterobacter",0.0714,99.8,1,0.06659,0,254,0,120,5.24
273,"UBA3818",0.0625,99.83,1,0.07991,0,254,0,120,4.9
273,"Prevotella",0.0625,99.85,1,0.07769,0,254,0,120,4.9
275,"CAG.603",0.0588,99.87,1,0.09989,0,254,0,120,4.2
275,"CAG.170",0.0588,99.9,1,0.05105,0,254,0,120,4.2
275,"Ventrimonas",0.0588,99.92,1,0.09545,0,254,0,120,4.2
278,"Onthomonas",0.0526,99.94,1,0.06215,0,254,0,120,3.15
279,"Bacteroides",0.05,99.96,1,0.04884,0.0909,243,0,120,2.8
280,"Faecousia",0.0476,99.98,1,0.04884,0.1667,224,0,120,2.45
281,"NSJ.62",0.0435,100,1,0.02664,0.1111,237,0,120,2.1
282,"Dysosmobacter",0,100,0,NA,0,254,0,120,1.75
282,"SFEL01",0,100,0,NA,0,254,0,120,1.75
282,"Blautia_A",0,100,0,NA,0,254,0,120,1.75
282,"Lachnospiraceae.g__14.2",0,100,0,NA,0,254,0,120,1.75
282,"Kluyvera",0,100,0,NA,0,254,0,120,1.75
282,"Scatomorpha",0,100,0,NA,0,254,0,120,1.75
